codigo,programa,plan,area,semestre,columna,horasTeoria,horasPractica,creditos
CI0200,MI,1313,Básicas,0,5,0,0,0
CI0202,MI,1313,Básicas,0,6,2,0,2
MA0101,MI,1313,Básicas,1,1,5,0,2
QU1106,MI,1313,Básicas,1,3,4,0,3
QU1102,MI,1313,Básicas,1,4,0,2,1
CI1230,MI,1313,Básicas,1,5,3,0,2
CA2125,MI,1313,Básicas,1,6,4,0,3
CS1502,MI,1313,Básicas,1,7,2,0,1
CI1106,MI,1313,Básicas,1,8,3,0,2
SE1200,MI,1313,Básicas,1,9,0,2,0
MA1102,MI,1313,Básicas,2,1,5,0,4
FI1101,MI,1313,Básicas,2,2,4,0,3
FI1201,MI,1313,Básicas,2,3,0,2,1
QU1107,MI,1313,-,2,4,4,0,3
QU1104,MI,1313,-,2,5,0,2,1
CI1107,MI,1313,-,2,6,3,0,1
MI2101,MI,1313,Solido,2,7,4,0,3
SE1100,MI,1313,-,2,9,0,2,0
MA1103,MI,1313,Básicas,3,1,4,0,4
FI1102,MI,1313,Básicas,3,2,4,0,3
FI1202,MI,1313,Básicas,3,3,0,2,1
MI2106,MI,1313,Solido,3,4,4,0,3
MI3103,MI,1313,Solido,3,5,3,0,3
MI3104,MI,1313,Solido,3,6,0,4,2
CS2303,MI,1313,Básicas,3,7,3,0,2
CI1231,MI,1313,Básicas,3,8,3,0,2
SE1400,MI,1313,Básica,3,9,0,2,0
MA2104,MI,1313,Básicas,4,1,4,0,4
FI1103,MI,1313,Básicas,4,2,4,0,3
MI2205,MI,1313,Eléctrica,4,4,4,0,3
MI2202,MI,1313,Eléctrica,4,5,0,2,1
MI3124,MI,1313,Solido,4,7,4,0,4
FH1000,MI,1313,Básicas,4,9,3,0,1
MA2105,MI,1313,Básicas,5,1,4,0,4
MI2207,MI,1313,Eléctrica,5,3,4,0,4
MI2204,MI,1313,Eléctrica,5,4,0,2,1
MI3115,MI,1313,Solido,5,5,4,0,3
MI3117,MI,1313,Solido,5,6,4,0,3
ME3208,MI,1313,-,5,7,3,0,2
ME3209,MI,1313,-,5,8,0,2,1
MI3130,MI,1313,Fluidos,5,9,4,0,4
PI2609,MI,1313,Básicas,6,2,3,0,2
AE5121,MI,1313,-,6,3,3,0,3
MI3210,MI,1313,Eléctrica,6,4,3,0,4
MI3206,MI,1313,Eléctrica,6,5,0,2,1
MI3108,MI,1313,Fluidos,6,7,4,0,4
MI3111,MI,1313,Fluidos,6,8,0,3,1
CM4108,MI,1313,Básicas,6,9,3,0,3
CM3207,MI,1313,Básicas,7,1,4,0,3
MI4300,MI,1313,Gestión,7,2,4,0,4
MI4311,MI,1313,Gestión,7,3,3,0,3
MI3209,MI,1313,Eléctrica,7,4,3,0,3
MI3116,MI,1313,Fluidos,7,7,4,0,4
MI3119,MI,1313,Fluidos,7,8,0,2,1
AE4208,MI,1313,-,7,9,4,0,4
MI4305,MI,1313,Gestión,8,2,3,0,3
MI4209,MI,1313,Eléctrica,8,4,3,0,3
MI4210,MI,1313,Eléctrica,8,5,0,2,1
MI4136,MI,1313,Solido,8,7,5,0,4
SO2601,MI,1313,-,8,8,2,0,1
CS3404,MI,1313,-,8,9,5,0,2
MI6351,MI,1313,Gestión,9,2,4,0,4
MI5215,MI,1313,Eléctrica,9,4,4,0,4
MI4212,MI,1313,Eléctrica,9,5,4,0,4
MI4125,MI,1313,Fluidos,9,8,0,2,1
CS4402,MI,1313,-,9,9,3,0,2
MI5520,MI,1313,Básicas,10,9,0,30,12
MI4126,MI,1313,Fluidos,11,1,4,0,4
MI4127,MI,1313,Fluidos,11,2,0,2,1
MI5135,MI,1313,Fluidos,11,3,4,0,4
MI5152,MI,1313,Fluidos,11,4,4,0,4
MI5411,MI,1313,Eléctrica,11,5,4,0,4
MI6153,MI,1313,Gestión,11,6,4,0,4
MI6252,MI,1313,Fluidos,11,7,4,0,4
MI6253,MI,1313,Gestión,11,8,4,0,4
MI6254,MI,1313,Fluidos,11,9,4,0,4
MI6255,MI,1313,Eléctrica,11,10,4,0,4
