area,cred_TRC,pt_TRC,pm_TRC,cred_INS,pt_INS,pm_INS,cred_AER,pt_AER,pm_AER,cred_SCF,pt_SCF,pm_SCF
ADD,4.0,2.5,3.0,4.0,2.5,2.2,4.0,2.5,2.2,4.0,2.5,2.2
AER,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,25.0,0.0,0.0,0.0
AUT,14.0,7.9,10.4,14.0,7.9,7.8,14.0,7.9,7.8,14.0,7.9,7.8
CIB,36.0,19.9,26.7,36.0,19.9,20.0,36.0,19.9,20.0,36.0,19.9,20.0
CYD,10.0,5.6,7.4,10.0,5.6,5.6,10.0,5.6,5.6,10.0,5.6,5.6
FPH,14.0,7.7,10.4,14.0,7.7,7.8,14.0,7.7,7.8,14.0,7.7,7.8
IEE,24.0,13.1,17.8,24.0,13.1,13.3,24.0,13.1,13.3,24.0,13.1,13.3
IMM,33.0,18.3,24.4,33.0,18.3,18.3,33.0,18.3,18.3,33.0,18.3,18.3
INS,0.0,0.0,0.0,45.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
SCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,25.0
TOT,135.0,75.0,100.1,180.0,100.0,100.0,180.0,100.0,100.0,180.0,100.0,100.0
