codigoEE,codigoMI,direccion,nombre
MA0101,MA0101,1.0,Matemática general
MA1102,MA1102,1.0,Cálculo diferencial e integral
FI1101,FI1101,1.0,Física general I
QU1902,QU1106;QU1107,1.0,Fundamentos de Química
CI1106,CI1106,1.0,Comunicación escrita
EE0107,MI2101,1.0,Dibujo técnico
CA0205,CA2125,0.0,Fundamentos de organización de computadoras
CI1107,CI1107,1.0,Comunicación oral
CS1502,CS1502,1.0,Introducción a la técnica ciencia y tecnología
SE1100,SE1100,1.0,Actividad cultural I
SE1200,SE1200,1.0,Actividad deportiva I
